"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species","redlistCategory","redlistPopulationTrend"
"Red Crossbill","RECR","boreal_forests",5210,"Red Crossbill",TRUE,TRUE,TRUE,"Red Crossbill","Passeriformes","Fringillidae","Loxia","curvirostra","Least Concern","Decreasing"
"Red Knot","REKN","waterbirds",2340,"Red Knot",TRUE,TRUE,TRUE,"Red Knot","Charadriiformes","Scolopacidae","Calidris","canutus","Near Threatened","Decreasing"
"Red Phalarope","REPH","waterbirds",2220,"Red Phalarope",TRUE,TRUE,TRUE,"Red Phalarope","Charadriiformes","Scolopacidae","Phalaropus","fulicarius","Least Concern","Unknown"
"Red-bellied Woodpecker","RBWO","eastern_forests",4090,"Red-bellied Woodpecker",TRUE,TRUE,TRUE,"Red-bellied Woodpecker","Piciformes","Picidae","Melanerpes","carolinus","Least Concern","Increasing"
"Red-breasted Merganser","RBME","waterbirds",1300,"Red-breasted Merganser",TRUE,TRUE,TRUE,"Red-breasted Merganser","Anseriformes","Anatidae","Mergus","serrator","Least Concern","Stable"
"Red-breasted Nuthatch","RBNU","boreal_forests",7280,"Red-breasted Nuthatch",TRUE,TRUE,TRUE,"Red-breasted Nuthatch","Passeriformes","Sittidae","Sitta","canadensis","Least Concern","Increasing"
"Red-breasted Sapsucker","RBSA","western_forests",4030,"Red-breasted Sapsucker",TRUE,TRUE,TRUE,"Red-breasted Sapsucker","Piciformes","Picidae","Sphyrapicus","ruber","Least Concern","Decreasing"
"Red-cockaded Woodpecker","RCWO","eastern_forests",3950,"Red-cockaded Woodpecker",TRUE,TRUE,TRUE,"Red-cockaded Woodpecker","Piciformes","Picidae","Dryobates","borealis",NA,NA
"Red-crowned Parrot","RCPA","subtropical_forests",3826,"Red-crowned Parrot",TRUE,TRUE,TRUE,"Red-crowned Parrot","Psittaciformes","Psittacidae","Amazona","viridigenalis","Endangered","Decreasing"
"Reddish Egret","REEG","coastal",1980,"Reddish Egret",TRUE,TRUE,TRUE,"Reddish Egret","Pelecaniformes","Ardeidae","Egretta","rufescens","Near Threatened","Decreasing"
"Red-eyed Vireo","REVI","eastern_forests",6240,"Red-eyed Vireo",TRUE,TRUE,TRUE,"Red-eyed Vireo","Passeriformes","Vireonidae","Vireo","olivaceus","Least Concern","Increasing"
"Red-faced Cormorant","RFCO","coastal",1207,"Red-faced Cormorant",TRUE,FALSE,TRUE,"unid. west coast cormorant","Suliformes","Phalacrocoracidae","Urile","sp.",NA,NA
"Red-faced Warbler","RFWA","subtropical_forests",6900,"Red-faced Warbler",TRUE,TRUE,TRUE,"Red-faced Warbler","Passeriformes","Parulidae","Cardellina","rubrifrons","Least Concern","Decreasing"
"Redhead","REDH","marshlands",1460,"Redhead",TRUE,TRUE,TRUE,"Redhead","Anseriformes","Anatidae","Aythya","americana","Least Concern","Increasing"
"Red-headed Woodpecker","RHWO","eastern_forests",4060,"Red-headed Woodpecker",TRUE,TRUE,TRUE,"Red-headed Woodpecker","Piciformes","Picidae","Melanerpes","erythrocephalus","Least Concern","Decreasing"
"Red-naped Sapsucker","RNSA","western_forests",4021,"Red-naped Sapsucker",TRUE,TRUE,TRUE,"Red-naped Sapsucker","Piciformes","Picidae","Sphyrapicus","nuchalis","Least Concern","Decreasing"
"Red-necked Grebe","RNGR","marshlands",20,"Red-necked Grebe",TRUE,TRUE,TRUE,"Red-necked Grebe","Podicipediformes","Podicipedidae","Podiceps","grisegena","Least Concern","Decreasing"
"Red-necked Phalarope","RNPH","waterbirds",2230,"Red-necked Phalarope",TRUE,TRUE,TRUE,"Red-necked Phalarope","Charadriiformes","Scolopacidae","Phalaropus","lobatus","Least Concern","Decreasing"
"Red-shouldered Hawk","RSHA","eastern_forests",3390,"Red-shouldered Hawk",TRUE,TRUE,TRUE,"Red-shouldered Hawk","Accipitriformes","Accipitridae","Buteo","lineatus","Least Concern","Increasing"
"Red-tailed Hawk","RTHA","generalists",3370,"Red-tailed Hawk",TRUE,FALSE,TRUE,"Red-tailed Hawk (all forms)","Accipitriformes","Accipitridae","Buteo","jamaicensis","Least Concern","Increasing"
"Red-throated Loon","RTLO","waterbirds",110,"Red-throated Loon",TRUE,TRUE,TRUE,"Red-throated Loon","Gaviiformes","Gaviidae","Gavia","stellata","Least Concern","Decreasing"
"Red-winged Blackbird","RWBL","generalists",4980,"Red-winged Blackbird",TRUE,TRUE,TRUE,"Red-winged Blackbird","Passeriformes","Icteridae","Agelaius","phoeniceus","Least Concern","Decreasing"
"Rhinoceros Auklet","RHAU","coastal",150,"Rhinoceros Auklet",TRUE,TRUE,TRUE,"Rhinoceros Auklet","Charadriiformes","Alcidae","Cerorhinca","monocerata","Least Concern","Decreasing"
"Ridgway's Rail","RIRA","marshlands",NA,NA,FALSE,TRUE,TRUE,"Ridgway's Rail","Gruiformes","Rallidae","Rallus","obsoletus","Near Threatened","Decreasing"
"Ring-billed Gull","RBGU","waterbirds",540,"Ring-billed Gull",TRUE,TRUE,TRUE,"Ring-billed Gull","Charadriiformes","Laridae","Larus","delawarensis","Least Concern","Increasing"
"Ringed Kingfisher","RIKI","waterbirds",3901,"Ringed Kingfisher",TRUE,TRUE,TRUE,"Ringed Kingfisher","Coraciiformes","Alcedinidae","Megaceryle","torquata","Least Concern","Stable"
"Ring-necked Duck","RNDU","waterbirds",1500,"Ring-necked Duck",TRUE,TRUE,TRUE,"Ring-necked Duck","Anseriformes","Anatidae","Aythya","collaris","Least Concern","Increasing"
"Ring-necked Pheasant","RNEP","grasslands",NA,NA,FALSE,TRUE,TRUE,"Ring-necked Pheasant","Galliformes","Phasianidae","Phasianus","colchicus","Least Concern","Unknown"
