"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species","redlistCategory","redlistPopulationTrend"
"Cattle Egret","CAEG","waterbirds",2001,"Cattle Egret",TRUE,FALSE,TRUE,"Western Cattle-Egret","Pelecaniformes","Ardeidae","Ardea","ibis",NA,NA
"Cave Swallow","CASW","aridlands",6121,"Cave Swallow",TRUE,TRUE,TRUE,"Cave Swallow","Passeriformes","Hirundinidae","Petrochelidon","fulva","Least Concern","Increasing"
"Cedar Waxwing","CEDW","generalists",6190,"Cedar Waxwing",TRUE,TRUE,TRUE,"Cedar Waxwing","Passeriformes","Bombycillidae","Bombycilla","cedrorum","Least Concern","Increasing"
"Cerulean Warbler","CERW","eastern_forests",6580,"Cerulean Warbler",TRUE,TRUE,TRUE,"Cerulean Warbler","Passeriformes","Parulidae","Setophaga","cerulea","Near Threatened","Decreasing"
"Chestnut-backed Chickadee","CBCH","western_forests",7410,"Chestnut-backed Chickadee",TRUE,TRUE,TRUE,"Chestnut-backed Chickadee","Passeriformes","Paridae","Poecile","rufescens","Least Concern","Decreasing"
"Chestnut-collared Longspur","CCLO","grasslands",5380,"Chestnut-collared Longspur",TRUE,TRUE,TRUE,"Chestnut-collared Longspur","Passeriformes","Calcariidae","Calcarius","ornatus","Vulnerable","Decreasing"
"Chestnut-sided Warbler","CSWA","eastern_forests",6590,"Chestnut-sided Warbler",TRUE,TRUE,TRUE,"Chestnut-sided Warbler","Passeriformes","Parulidae","Setophaga","pensylvanica","Least Concern","Decreasing"
"Chihuahuan Raven","CHRA","aridlands",4870,"Chihuahuan Raven",TRUE,TRUE,TRUE,"Chihuahuan Raven","Passeriformes","Corvidae","Corvus","cryptoleucus","Least Concern","Decreasing"
"Chimney Swift","CHSW","eastern_forests",4230,"Chimney Swift",TRUE,TRUE,TRUE,"Chimney Swift","Apodiformes","Apodidae","Chaetura","pelagica","Vulnerable","Decreasing"
"Chipping Sparrow","CHSP","generalists",5600,"Chipping Sparrow",TRUE,TRUE,TRUE,"Chipping Sparrow","Passeriformes","Passerellidae","Spizella","passerina","Least Concern","Decreasing"
"Chuck-will's-widow","CWWI","eastern_forests",4160,"Chuck-will's-widow",TRUE,TRUE,TRUE,"Chuck-will's-widow","Caprimulgiformes","Caprimulgidae","Antrostomus","carolinensis","Near Threatened","Decreasing"
"Chukar","CHUK","aridlands",NA,NA,FALSE,TRUE,TRUE,"Chukar","Galliformes","Phasianidae","Alectoris","chukar","Least Concern","Stable"
"Cinnamon Teal","CITE","marshlands",1410,"Cinnamon Teal",TRUE,TRUE,TRUE,"Cinnamon Teal","Anseriformes","Anatidae","Spatula","cyanoptera","Least Concern","Decreasing"
"Clapper Rail","CLRA","coastal",2110,"Clapper Rail",TRUE,TRUE,TRUE,"Clapper Rail","Gruiformes","Rallidae","Rallus","crepitans","Least Concern","Decreasing"
"Clark's Grebe","CLGR","marshlands",11,"Clark's Grebe",TRUE,TRUE,TRUE,"Clark's Grebe","Podicipediformes","Podicipedidae","Aechmophorus","clarkii","Least Concern","Decreasing"
"Clark's Nutcracker","CLNU","western_forests",4910,"Clark's Nutcracker",TRUE,TRUE,TRUE,"Clark's Nutcracker","Passeriformes","Corvidae","Nucifraga","columbiana","Least Concern","Stable"
"Clay-colored Sparrow","CCSP","grasslands",5610,"Clay-colored Sparrow",TRUE,TRUE,TRUE,"Clay-colored Sparrow","Passeriformes","Passerellidae","Spizella","pallida","Least Concern","Decreasing"
"Cliff Swallow","CLSW","generalists",6120,"Cliff Swallow",TRUE,TRUE,TRUE,"Cliff Swallow","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota","Least Concern","Increasing"
"Common Eider","COEI","coastal",1590,"Common Eider",TRUE,TRUE,TRUE,"Common Eider","Anseriformes","Anatidae","Somateria","mollissima","Near Threatened","Unknown"
"Common Gallinule","COGA","marshlands",2190,"Common Gallinule",TRUE,TRUE,TRUE,"Common Gallinule","Gruiformes","Rallidae","Gallinula","galeata","Least Concern","Unknown"
"Common Goldeneye","COGO","waterbirds",1510,"Common Goldeneye",TRUE,TRUE,TRUE,"Common Goldeneye","Anseriformes","Anatidae","Bucephala","clangula","Least Concern","Stable"
"Common Grackle","COGR","eastern_forests",5110,"Common Grackle",TRUE,TRUE,TRUE,"Common Grackle","Passeriformes","Icteridae","Quiscalus","quiscula","Near Threatened","Decreasing"
"Common Ground-Dove","COGD","aridlands",3200,"Common Ground-Dove",TRUE,FALSE,TRUE,"Common Ground Dove","Columbiformes","Columbidae","Columbina","passerina","Least Concern","Stable"
"Common Loon","COLO","waterbirds",70,"Common Loon",TRUE,TRUE,TRUE,"Common Loon","Gaviiformes","Gaviidae","Gavia","immer","Least Concern","Stable"
"Common Merganser","COME","waterbirds",1290,"Common Merganser",TRUE,TRUE,TRUE,"Common Merganser","Anseriformes","Anatidae","Mergus","merganser","Least Concern","Unknown"
"Common Murre","COMU","coastal",300,"Common Murre",TRUE,TRUE,TRUE,"Common Murre","Charadriiformes","Alcidae","Uria","aalge","Least Concern","Increasing"
"Common Myna","COMY","urban_suburban",4932,"Common Myna",TRUE,TRUE,TRUE,"Common Myna","Passeriformes","Sturnidae","Acridotheres","tristis","Least Concern","Decreasing"
"Common Nighthawk","CONI","generalists",4200,"Common Nighthawk",TRUE,TRUE,TRUE,"Common Nighthawk","Caprimulgiformes","Caprimulgidae","Chordeiles","minor","Least Concern","Decreasing"
"Common Pauraque","COPA","subtropical_forests",4190,"Common Pauraque",TRUE,TRUE,TRUE,"Common Pauraque","Caprimulgiformes","Caprimulgidae","Nyctidromus","albicollis","Least Concern","Stable"
"Common Poorwill","COPO","aridlands",4180,"Common Poorwill",TRUE,TRUE,TRUE,"Common Poorwill","Caprimulgiformes","Caprimulgidae","Phalaenoptilus","nuttallii","Least Concern","Stable"
"Common Raven","CORA","generalists",4860,"Common Raven",TRUE,TRUE,TRUE,"Common Raven","Passeriformes","Corvidae","Corvus","corax","Least Concern","Increasing"
"Common Redpoll","CORE","arctic",5280,"Common Redpoll",TRUE,FALSE,TRUE,"(Common Redpoll) Redpoll","Passeriformes","Fringillidae","Acanthis","flammea flammea",NA,NA
"Common Tern","COTE","waterbirds",700,"Common Tern",TRUE,TRUE,TRUE,"Common Tern","Charadriiformes","Laridae","Sterna","hirundo","Least Concern","Unknown"
"Common Yellowthroat","COYE","generalists",6810,"Common Yellowthroat",TRUE,TRUE,TRUE,"Common Yellowthroat","Passeriformes","Parulidae","Geothlypis","trichas","Least Concern","Decreasing"
"Connecticut Warbler","CONW","boreal_forests",6780,"Connecticut Warbler",TRUE,TRUE,TRUE,"Connecticut Warbler","Passeriformes","Parulidae","Oporornis","agilis","Least Concern","Decreasing"
"Cooper's Hawk","COHA","generalists",3330,"Cooper's Hawk",TRUE,TRUE,TRUE,"Cooper's Hawk","Accipitriformes","Accipitridae","Accipiter","cooperii","Least Concern","Increasing"
"Cordilleran Flycatcher","COFL","western_forests",4640,"Cordilleran Flycatcher",TRUE,FALSE,TRUE,"(Cordilleran Flycatcher) Western Flycatcher","Passeriformes","Tyrannidae","Empidonax","difficilis occidentalis",NA,NA
"Costa's Hummingbird","COHU","aridlands",4300,"Costa's Hummingbird",TRUE,TRUE,TRUE,"Costa's Hummingbird","Apodiformes","Trochilidae","Calypte","costae","Least Concern","Increasing"
"Couch's Kingbird","COKI","subtropical_forests",4461,"Couch's Kingbird",TRUE,TRUE,TRUE,"Couch's Kingbird","Passeriformes","Tyrannidae","Tyrannus","couchii","Least Concern","Stable"
"Crested Caracara","CRCA","aridlands",3620,"Crested Caracara",TRUE,TRUE,TRUE,"Crested Caracara","Falconiformes","Falconidae","Caracara","plancus","Least Concern","Stable"
"Crissal Thrasher","CRTH","aridlands",7120,"Crissal Thrasher",TRUE,TRUE,TRUE,"Crissal Thrasher","Passeriformes","Mimidae","Toxostoma","crissale","Least Concern","Decreasing"
"Curve-billed Thrasher","CBTH","aridlands",7070,"Curve-billed Thrasher",TRUE,TRUE,TRUE,"Curve-billed Thrasher","Passeriformes","Mimidae","Toxostoma","curvirostre","Least Concern","Decreasing"
"Dark-eyed Junco","DEJU","western_forests",5677,NA,TRUE,FALSE,TRUE,"Dark-eyed Junco (all forms)","Passeriformes","Passerellidae","Junco","hyemalis","Least Concern","Decreasing"
"Dickcissel","DICK","grasslands",6040,"Dickcissel",TRUE,TRUE,TRUE,"Dickcissel","Passeriformes","Cardinalidae","Spiza","americana","Least Concern","Stable"
"Double-crested Cormorant","DCCO","waterbirds",1200,"Double-crested Cormorant",TRUE,TRUE,TRUE,"Double-crested Cormorant","Suliformes","Phalacrocoracidae","Nannopterum","auritum","Least Concern","Increasing"
"Dovekie","DOVE","coastal",340,"Dovekie",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Downy Woodpecker","DOWO","generalists",3940,"Downy Woodpecker",TRUE,TRUE,TRUE,"Downy Woodpecker","Piciformes","Picidae","Dryobates","pubescens","Least Concern","Stable"
"Dunlin","DUNL","waterbirds",2430,"Dunlin",TRUE,TRUE,TRUE,"Dunlin","Charadriiformes","Scolopacidae","Calidris","alpina","Near Threatened","Decreasing"
"Dusky Flycatcher","DUFL","western_forests",4690,"Dusky Flycatcher",TRUE,TRUE,TRUE,"Dusky Flycatcher","Passeriformes","Tyrannidae","Empidonax","oberholseri","Least Concern","Stable"
"Dusky Grouse","DUGR","western_forests",NA,NA,FALSE,TRUE,TRUE,"Dusky Grouse","Galliformes","Phasianidae","Dendragapus","obscurus","Least Concern","Stable"
"Dusky-capped Flycatcher","DCFL","western_forests",4550,"Dusky-capped Flycatcher",TRUE,TRUE,TRUE,"Dusky-capped Flycatcher","Passeriformes","Tyrannidae","Myiarchus","tuberculifer","Least Concern","Decreasing"
"Eared Grebe","EAGR","marshlands",40,"Eared Grebe",TRUE,TRUE,TRUE,"Eared Grebe","Podicipediformes","Podicipedidae","Podiceps","nigricollis","Least Concern","Unknown"
"Eastern Bluebird","EABL","eastern_forests",7660,"Eastern Bluebird",TRUE,TRUE,TRUE,"Eastern Bluebird","Passeriformes","Turdidae","Sialia","sialis","Least Concern","Increasing"
"Eastern Kingbird","EAKI","grasslands",4440,"Eastern Kingbird",TRUE,TRUE,TRUE,"Eastern Kingbird","Passeriformes","Tyrannidae","Tyrannus","tyrannus","Least Concern","Decreasing"
"Eastern Meadowlark","EAME","grasslands",5010,"Eastern Meadowlark",TRUE,TRUE,TRUE,"Eastern Meadowlark","Passeriformes","Icteridae","Sturnella","magna","Near Threatened","Decreasing"
"Eastern Phoebe","EAPH","eastern_forests",4560,"Eastern Phoebe",TRUE,TRUE,TRUE,"Eastern Phoebe","Passeriformes","Tyrannidae","Sayornis","phoebe","Least Concern","Increasing"
"Eastern Screech-Owl","EASO","eastern_forests",3730,"Eastern Screech-Owl",TRUE,TRUE,TRUE,"Eastern Screech-Owl","Strigiformes","Strigidae","Megascops","asio","Least Concern","Decreasing"
"Eastern Towhee","EATO","eastern_forests",5870,"Eastern Towhee",TRUE,TRUE,TRUE,"Eastern Towhee","Passeriformes","Passerellidae","Pipilo","erythrophthalmus","Least Concern","Decreasing"
"Eastern Whip-poor-will","EWPW","eastern_forests",4170,"Eastern Whip-poor-will",FALSE,TRUE,TRUE,"Eastern Whip-poor-will","Caprimulgiformes","Caprimulgidae","Antrostomus","vociferus","Near Threatened","Stable"
"Eastern Wood-Pewee","EAWP","eastern_forests",4610,"Eastern Wood-Pewee",TRUE,TRUE,TRUE,"Eastern Wood-Pewee","Passeriformes","Tyrannidae","Contopus","virens","Least Concern","Decreasing"
"Emperor Goose","EMGO","waterbirds",1760,"Emperor Goose",TRUE,TRUE,TRUE,"Emperor Goose","Anseriformes","Anatidae","Anser","canagicus","Least Concern","Increasing"
"Eurasian Collared-Dove","EUCD","urban_suburban",NA,NA,FALSE,TRUE,TRUE,"Eurasian Collared-Dove","Columbiformes","Columbidae","Streptopelia","decaocto","Least Concern","Increasing"
"Eurasian Tree Sparrow","ETSP","urban_suburban",6883,"Eurasian Tree Sparrow",TRUE,TRUE,TRUE,"Eurasian Tree Sparrow","Passeriformes","Passeridae","Passer","montanus","Least Concern","Unknown"
"Eurasian Wigeon","EUWI","marshlands",1360,"Eurasian Wigeon",TRUE,TRUE,TRUE,"Eurasian Wigeon","Anseriformes","Anatidae","Mareca","penelope","Least Concern","Increasing"
"European Starling","EUST","generalists",4930,"European Starling",TRUE,TRUE,TRUE,"European Starling","Passeriformes","Sturnidae","Sturnus","vulgaris","Least Concern","Decreasing"
"Evening Grosbeak","EVGR","boreal_forests",5140,"Evening Grosbeak",TRUE,TRUE,TRUE,"Evening Grosbeak","Passeriformes","Fringillidae","Coccothraustes","vespertinus",NA,NA
"Ferruginous Hawk","FEHA","grasslands",3480,"Ferruginous Hawk",TRUE,TRUE,TRUE,"Ferruginous Hawk","Accipitriformes","Accipitridae","Buteo","regalis","Least Concern","Increasing"
"Ferruginous Pygmy-Owl","FEPO","aridlands",3800,"Ferruginous Pygmy-Owl",TRUE,TRUE,TRUE,"Ferruginous Pygmy-Owl","Strigiformes","Strigidae","Glaucidium","brasilianum","Least Concern","Decreasing"
"Field Sparrow","FISP","eastern_forests",5630,"Field Sparrow",TRUE,TRUE,TRUE,"Field Sparrow","Passeriformes","Passerellidae","Spizella","pusilla","Least Concern","Decreasing"
"Fish Crow","FICR","generalists",4900,"Fish Crow",TRUE,TRUE,TRUE,"Fish Crow","Passeriformes","Corvidae","Corvus","ossifragus","Least Concern","Increasing"
"Florida Scrub-Jay","FLSJ","subtropical_forests",4790,"Florida Scrub-Jay",TRUE,TRUE,TRUE,"Florida Scrub-Jay","Passeriformes","Corvidae","Aphelocoma","coerulescens","Vulnerable","Decreasing"
"Forster's Tern","FOTE","marshlands",690,"Forster's Tern",TRUE,TRUE,TRUE,"Forster's Tern","Charadriiformes","Laridae","Sterna","forsteri","Least Concern","Increasing"
"Fox Sparrow","FOSP","boreal_forests",5850,"Fox Sparrow",TRUE,TRUE,TRUE,"Fox Sparrow","Passeriformes","Passerellidae","Passerella","iliaca","Least Concern","Decreasing"
"Franklin's Gull","FRGU","marshlands",590,"Franklin's Gull",TRUE,TRUE,TRUE,"Franklin's Gull","Charadriiformes","Laridae","Leucophaeus","pipixcan",NA,NA
"Fulvous Whistling-Duck","FUWD","marshlands",1780,"Fulvous Whistling-Duck",TRUE,TRUE,TRUE,"Fulvous Whistling-Duck","Anseriformes","Anatidae","Dendrocygna","bicolor","Least Concern","Decreasing"
"Gadwall","GADW","marshlands",1350,"Gadwall",TRUE,TRUE,TRUE,"Gadwall","Anseriformes","Anatidae","Mareca","strepera","Least Concern","Stable"
"Gambel's Quail","GAQU","aridlands",NA,NA,FALSE,TRUE,TRUE,"Gambel's Quail","Galliformes","Odontophoridae","Callipepla","gambelii","Least Concern","Stable"
"Gila Woodpecker","GIWO","aridlands",4110,"Gila Woodpecker",TRUE,TRUE,TRUE,"Gila Woodpecker","Piciformes","Picidae","Melanerpes","uropygialis","Least Concern","Stable"
"Gilded Flicker","GIFL","aridlands",4140,"Gilded Flicker",TRUE,TRUE,TRUE,"Gilded Flicker","Piciformes","Picidae","Colaptes","chrysoides","Least Concern","Stable"
"Glaucous Gull","GLGU","waterbirds",420,"Glaucous Gull",TRUE,TRUE,TRUE,"Glaucous Gull","Charadriiformes","Laridae","Larus","hyperboreus","Least Concern","Stable"
"Glaucous-winged Gull","GWGU","coastal",440,"Glaucous-winged Gull",TRUE,TRUE,TRUE,"Glaucous-winged Gull","Charadriiformes","Laridae","Larus","glaucescens","Least Concern","Increasing"
"Glossy Ibis","GLIB","marshlands",1860,"Glossy Ibis",TRUE,TRUE,TRUE,"Glossy Ibis","Pelecaniformes","Threskiornithidae","Plegadis","falcinellus","Least Concern","Stable"
"Golden Eagle","GOEA","generalists",3490,"Golden Eagle",TRUE,TRUE,TRUE,"Golden Eagle","Accipitriformes","Accipitridae","Aquila","chrysaetos","Least Concern","Stable"
"Golden-cheeked Warbler","GCWA","subtropical_forests",6660,"Golden-cheeked Warbler",TRUE,TRUE,TRUE,"Golden-cheeked Warbler","Passeriformes","Parulidae","Setophaga","chrysoparia","Endangered","Decreasing"
"Golden-crowned Kinglet","GCKI","boreal_forests",7480,"Golden-crowned Kinglet",TRUE,TRUE,TRUE,"Golden-crowned Kinglet","Passeriformes","Regulidae","Regulus","satrapa","Least Concern","Stable"
"Golden-crowned Sparrow","GCSP","boreal_forests",5570,"Golden-crowned Sparrow",TRUE,TRUE,TRUE,"Golden-crowned Sparrow","Passeriformes","Passerellidae","Zonotrichia","atricapilla","Least Concern","Decreasing"
"Golden-fronted Woodpecker","GFWO","subtropical_forests",4100,"Golden-fronted Woodpecker",TRUE,TRUE,TRUE,"Golden-fronted Woodpecker","Piciformes","Picidae","Melanerpes","aurifrons","Least Concern","Stable"
"Golden-winged Warbler","GWWA","eastern_forests",6420,"Golden-winged Warbler",TRUE,TRUE,TRUE,"Golden-winged Warbler","Passeriformes","Parulidae","Vermivora","chrysoptera","Near Threatened","Decreasing"
"Grace's Warbler","GRWA","western_forests",6640,"Grace's Warbler",TRUE,TRUE,TRUE,"Grace's Warbler","Passeriformes","Parulidae","Setophaga","graciae","Least Concern","Decreasing"
"Grasshopper Sparrow","GRSP","grasslands",5460,"Grasshopper Sparrow",TRUE,TRUE,TRUE,"Grasshopper Sparrow","Passeriformes","Passerellidae","Ammodramus","savannarum","Least Concern","Decreasing"
"Gray Catbird","GRCA","eastern_forests",7040,"Gray Catbird",TRUE,TRUE,TRUE,"Gray Catbird","Passeriformes","Mimidae","Dumetella","carolinensis","Least Concern","Stable"
"Gray Flycatcher","GRFL","aridlands",4691,"Gray Flycatcher",TRUE,TRUE,TRUE,"Gray Flycatcher","Passeriformes","Tyrannidae","Empidonax","wrightii","Least Concern","Increasing"
"Gray Hawk","GRHA","western_forests",3460,"Gray Hawk",TRUE,TRUE,TRUE,"Gray Hawk","Accipitriformes","Accipitridae","Buteo","plagiatus","Least Concern","Stable"
"Gray Kingbird","GRAK","subtropical_forests",4450,"Gray Kingbird",TRUE,TRUE,TRUE,"Gray Kingbird","Passeriformes","Tyrannidae","Tyrannus","dominicensis","Least Concern","Stable"
"Gray Partridge","GRAP","grasslands",NA,NA,FALSE,TRUE,TRUE,"Gray Partridge","Galliformes","Phasianidae","Perdix","perdix","Least Concern","Decreasing"
"Gray Vireo","GRVI","aridlands",6340,"Gray Vireo",TRUE,TRUE,TRUE,"Gray Vireo","Passeriformes","Vireonidae","Vireo","vicinior","Least Concern","Increasing"
"Gray-cheeked Thrush","GCTH","boreal_forests",7570,"Gray-cheeked Thrush",TRUE,TRUE,TRUE,"Gray-cheeked Thrush","Passeriformes","Turdidae","Catharus","minimus","Least Concern","Decreasing"
"Gray-crowned Rosy-Finch","GCRF","arctic",5240,"Gray-crowned Rosy-Finch",TRUE,TRUE,TRUE,"Gray-crowned Rosy-Finch","Passeriformes","Fringillidae","Leucosticte","tephrocotis","Least Concern","Stable"
"Great Black-backed Gull","GBBG","coastal",470,"Great Black-backed Gull",TRUE,TRUE,TRUE,"Great Black-backed Gull","Charadriiformes","Laridae","Larus","marinus","Least Concern","Unknown"
"Great Blue Heron","GBHE","waterbirds",1940,"Great Blue Heron",TRUE,TRUE,TRUE,"Great Blue Heron","Pelecaniformes","Ardeidae","Ardea","herodias","Least Concern","Increasing"
"Great Cormorant","GRCO","coastal",1190,"Great Cormorant",TRUE,TRUE,TRUE,"Great Cormorant","Suliformes","Phalacrocoracidae","Phalacrocorax","carbo","Least Concern","Increasing"
"Great Crested Flycatcher","GCFL","eastern_forests",4520,"Great Crested Flycatcher",TRUE,TRUE,TRUE,"Great Crested Flycatcher","Passeriformes","Tyrannidae","Myiarchus","crinitus","Least Concern","Stable"
"Great Egret","GREG","waterbirds",1960,"Great Egret",TRUE,TRUE,TRUE,"Great Egret","Pelecaniformes","Ardeidae","Ardea","alba","Least Concern","Stable"
"Great Gray Owl","GGOW","boreal_forests",3700,"Great Gray Owl",TRUE,TRUE,TRUE,"Great Gray Owl","Strigiformes","Strigidae","Strix","nebulosa","Least Concern","Increasing"
"Great Horned Owl","GHOW","generalists",3750,"Great Horned Owl",TRUE,TRUE,TRUE,"Great Horned Owl","Strigiformes","Strigidae","Bubo","virginianus","Least Concern","Stable"
"Great Kiskadee","GKIS","subtropical_forests",4490,"Great Kiskadee",TRUE,TRUE,TRUE,"Great Kiskadee","Passeriformes","Tyrannidae","Pitangus","sulphuratus","Least Concern","Increasing"
"Greater Prairie-Chicken","GRPC","grasslands",NA,NA,FALSE,TRUE,TRUE,"Greater Prairie-Chicken","Galliformes","Phasianidae","Tympanuchus","cupido","Near Threatened","Increasing"
"Greater Roadrunner","GRRO","aridlands",3850,"Greater Roadrunner",TRUE,TRUE,TRUE,"Greater Roadrunner","Cuculiformes","Cuculidae","Geococcyx","californianus","Least Concern","Increasing"
"Greater Sage-Grouse","GRSG","aridlands",NA,NA,FALSE,TRUE,TRUE,"Greater Sage-Grouse","Galliformes","Phasianidae","Centrocercus","urophasianus","Vulnerable","Decreasing"
"Greater Scaup","GRSC","waterbirds",1480,"Greater Scaup",TRUE,TRUE,TRUE,"Greater Scaup","Anseriformes","Anatidae","Aythya","marila","Least Concern","Decreasing"
"Greater White-fronted Goose","GWFG","waterbirds",1710,"Greater White-fronted Goose",TRUE,TRUE,TRUE,"Greater White-fronted Goose","Anseriformes","Anatidae","Anser","albifrons","Least Concern","Unknown"
"Greater Yellowlegs","GRYE","waterbirds",2540,"Greater Yellowlegs",TRUE,TRUE,TRUE,"Greater Yellowlegs","Charadriiformes","Scolopacidae","Tringa","melanoleuca","Near Threatened","Decreasing"
"Great-tailed Grackle","GTGR","generalists",5120,"Great-tailed Grackle",TRUE,TRUE,TRUE,"Great-tailed Grackle","Passeriformes","Icteridae","Quiscalus","mexicanus","Least Concern","Stable"
"Green Heron","GRHE","marshlands",2010,"Green Heron",TRUE,TRUE,TRUE,"Green Heron","Pelecaniformes","Ardeidae","Butorides","virescens",NA,NA
"Green Jay","GRJA","subtropical_forests",NA,NA,FALSE,TRUE,TRUE,"Green Jay","Passeriformes","Corvidae","Cyanocorax","yncas","Least Concern","Increasing"
"Green Kingfisher","GKIN","waterbirds",3910,"Green Kingfisher",TRUE,TRUE,TRUE,"Green Kingfisher","Coraciiformes","Alcedinidae","Chloroceryle","americana","Least Concern","Decreasing"
"Green-tailed Towhee","GTTO","aridlands",5900,"Green-tailed Towhee",TRUE,TRUE,TRUE,"Green-tailed Towhee","Passeriformes","Passerellidae","Pipilo","chlorurus","Least Concern","Stable"
"Green-winged Teal","GWTE","marshlands",NA,NA,FALSE,TRUE,TRUE,"Green-winged Teal","Anseriformes","Anatidae","Anas","crecca","Least Concern","Unknown"
"Groove-billed Ani","GBAN","subtropical_forests",3840,"Groove-billed Ani",TRUE,TRUE,TRUE,"Groove-billed Ani","Cuculiformes","Cuculidae","Crotophaga","sulcirostris","Least Concern","Increasing"
"Gull-billed Tern","GBTE","coastal",630,"Gull-billed Tern",TRUE,TRUE,TRUE,"Gull-billed Tern","Charadriiformes","Laridae","Gelochelidon","nilotica","Least Concern","Decreasing"
"Gyrfalcon","GYRF","arctic",3540,"Gyrfalcon",TRUE,TRUE,TRUE,"Gyrfalcon","Falconiformes","Falconidae","Falco","rusticolus","Least Concern","Stable"
"Hairy Woodpecker","HAWO","generalists",3930,"Hairy Woodpecker",TRUE,TRUE,TRUE,"Hairy Woodpecker","Piciformes","Picidae","Dryobates","villosus",NA,NA
"Hammond's Flycatcher","HAFL","western_forests",4680,"Hammond's Flycatcher",TRUE,TRUE,TRUE,"Hammond's Flycatcher","Passeriformes","Tyrannidae","Empidonax","hammondii","Least Concern","Increasing"
"Harlequin Duck","HADU","waterbirds",NA,NA,FALSE,TRUE,TRUE,"Harlequin Duck","Anseriformes","Anatidae","Histrionicus","histrionicus","Least Concern","Increasing"
"Harris's Hawk","HASH","aridlands",NA,NA,FALSE,TRUE,TRUE,"Harris's Hawk","Accipitriformes","Accipitridae","Parabuteo","unicinctus","Least Concern","Unknown"
"Harris's Sparrow","HASP","boreal_forests",5530,"Harris's Sparrow",TRUE,TRUE,TRUE,"Harris's Sparrow","Passeriformes","Passerellidae","Zonotrichia","querula","Near Threatened","Decreasing"
"Heermann's Gull","HEEG","coastal",570,"Heermann's Gull",TRUE,TRUE,TRUE,"Heermann's Gull","Charadriiformes","Laridae","Larus","heermanni","Near Threatened","Unknown"
"Henslow's Sparrow","HESP","grasslands",5470,"Henslow's Sparrow",TRUE,TRUE,TRUE,"Henslow's Sparrow","Passeriformes","Passerellidae","Centronyx","henslowii",NA,NA
"Hepatic Tanager","HETA","western_forests",6090,"Hepatic Tanager",TRUE,TRUE,TRUE,"Hepatic Tanager","Passeriformes","Cardinalidae","Piranga","flava",NA,NA
"Hermit Thrush","HETH","western_forests",7590,"Hermit Thrush",TRUE,TRUE,TRUE,"Hermit Thrush","Passeriformes","Turdidae","Catharus","guttatus","Least Concern","Stable"
"Hermit Warbler","HEWA","western_forests",6690,"Hermit Warbler",TRUE,TRUE,TRUE,"Hermit Warbler","Passeriformes","Parulidae","Setophaga","occidentalis","Least Concern","Stable"
"Herring Gull","HERG","waterbirds",510,"Herring Gull",TRUE,TRUE,TRUE,"Herring Gull","Charadriiformes","Laridae","Larus","argentatus",NA,NA
"Hoary Redpoll","HORE","arctic",5270,"Hoary Redpoll",TRUE,FALSE,TRUE,"(Hoary Redpoll) Redpoll","Passeriformes","Fringillidae","Acanthis","flammea hornemanni",NA,NA
"Hooded Merganser","HOME","waterbirds",1310,"Hooded Merganser",TRUE,TRUE,TRUE,"Hooded Merganser","Anseriformes","Anatidae","Lophodytes","cucullatus","Least Concern","Increasing"
"Hooded Oriole","HOOR","western_forests",5050,"Hooded Oriole",TRUE,TRUE,TRUE,"Hooded Oriole","Passeriformes","Icteridae","Icterus","cucullatus","Least Concern","Increasing"
"Hooded Warbler","HOWA","eastern_forests",6840,"Hooded Warbler",TRUE,TRUE,TRUE,"Hooded Warbler","Passeriformes","Parulidae","Setophaga","citrina","Least Concern","Increasing"
"Hook-billed Kite","HBKI","subtropical_forests",3271,"Hook-billed Kite",TRUE,TRUE,TRUE,"Hook-billed Kite","Accipitriformes","Accipitridae","Chondrohierax","uncinatus","Least Concern","Decreasing"
"Horned Grebe","HOGR","marshlands",30,"Horned Grebe",TRUE,TRUE,TRUE,"Horned Grebe","Podicipediformes","Podicipedidae","Podiceps","auritus","Vulnerable","Decreasing"
"Horned Lark","HOLA","grasslands",4740,"Horned Lark",TRUE,TRUE,TRUE,"Horned Lark","Passeriformes","Alaudidae","Eremophila","alpestris","Least Concern","Decreasing"
"House Finch","HOFI","generalists",5190,"House Finch",TRUE,TRUE,TRUE,"House Finch","Passeriformes","Fringillidae","Haemorhous","mexicanus","Least Concern","Increasing"
"House Sparrow","HOSP","urban_suburban",6882,"House Sparrow",TRUE,TRUE,TRUE,"House Sparrow","Passeriformes","Passeridae","Passer","domesticus","Least Concern","Decreasing"
"House Wren","HOWR","generalists",7210,"House Wren",TRUE,FALSE,TRUE,"Northern House Wren","Passeriformes","Troglodytidae","Troglodytes","aedon","Least Concern","Stable"
"Hudsonian Godwit","HUGO","waterbirds",2510,"Hudsonian Godwit",TRUE,TRUE,TRUE,"Hudsonian Godwit","Charadriiformes","Scolopacidae","Limosa","haemastica","Vulnerable","Decreasing"
"Hutton's Vireo","HUVI","western_forests",6320,"Hutton's Vireo",TRUE,TRUE,TRUE,"Hutton's Vireo","Passeriformes","Vireonidae","Vireo","huttoni","Least Concern","Increasing"
