"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species"
"European Starling","EUST","generalists",4930,"European Starling",TRUE,TRUE,TRUE,"European Starling","Passeriformes","Sturnidae","Sturnus","vulgaris"
"Evening Grosbeak","EVGR","boreal_forests",5140,"Evening Grosbeak",TRUE,TRUE,TRUE,"Evening Grosbeak","Passeriformes","Fringillidae","Coccothraustes","vespertinus"
"Ferruginous Hawk","FEHA","grasslands",3480,"Ferruginous Hawk",TRUE,TRUE,TRUE,"Ferruginous Hawk","Accipitriformes","Accipitridae","Buteo","regalis"
"Ferruginous Pygmy-Owl","FEPO","aridlands",3800,"Ferruginous Pygmy-Owl",TRUE,TRUE,TRUE,"Ferruginous Pygmy-Owl","Strigiformes","Strigidae","Glaucidium","brasilianum"
"Field Sparrow","FISP","eastern_forests",5630,"Field Sparrow",TRUE,TRUE,TRUE,"Field Sparrow","Passeriformes","Passerellidae","Spizella","pusilla"
"Fish Crow","FICR","generalists",4900,"Fish Crow",TRUE,TRUE,TRUE,"Fish Crow","Passeriformes","Corvidae","Corvus","ossifragus"
"Florida Scrub-Jay","FLSJ","subtropical_forests",4790,"Florida Scrub-Jay",TRUE,TRUE,TRUE,"Florida Scrub-Jay","Passeriformes","Corvidae","Aphelocoma","coerulescens"
"Forster's Tern","FOTE","marshlands",690,"Forster's Tern",TRUE,TRUE,TRUE,"Forster's Tern","Charadriiformes","Laridae","Sterna","forsteri"
"Fox Sparrow","FOSP","boreal_forests",5850,"Fox Sparrow",TRUE,TRUE,TRUE,"Fox Sparrow","Passeriformes","Passerellidae","Passerella","iliaca"
"Franklin's Gull","FRGU","marshlands",590,"Franklin's Gull",TRUE,TRUE,TRUE,"Franklin's Gull","Charadriiformes","Laridae","Leucophaeus","pipixcan"
"Fulvous Whistling-Duck","FUWD","marshlands",1780,"Fulvous Whistling-Duck",TRUE,TRUE,TRUE,"Fulvous Whistling-Duck","Anseriformes","Anatidae","Dendrocygna","bicolor"
"Gadwall","GADW","marshlands",1350,"Gadwall",TRUE,TRUE,TRUE,"Gadwall","Anseriformes","Anatidae","Mareca","strepera"
"Gambel's Quail","GAQU","aridlands",NA,NA,FALSE,TRUE,TRUE,"Gambel's Quail","Galliformes","Odontophoridae","Callipepla","gambelii"
