"species","species_code","model","mean","q2.5","q5","q95","q97.5","excludes_zero_90","excludes_zero_95","ci_conclusion_changes"
"Pelagic Cormorant","PECO","anthro",0.127691276876151,-1.819848725,-1.514223095,1.72310194,2.06732032,FALSE,FALSE,FALSE
"Peregrine Falcon","PEFA","anthro",0.211674063169789,-0.3474390555,-0.253126147,0.6649794125,0.74333825025,FALSE,FALSE,FALSE
"Phainopepla","PHAI","anthro",-2.01130059926713,-3.1424267475,-2.966125555,-1.082823985,-0.90655335075,TRUE,TRUE,FALSE
"Philadelphia Vireo","PHVI","anthro",-0.668745524945569,-2.423372395,-2.133584665,0.791282590999998,1.037368435,FALSE,FALSE,FALSE
"Pied-billed Grebe","PBGR","anthro",-0.112356698574054,-0.5409056045,-0.4709336415,0.2440985665,0.30798589725,FALSE,FALSE,FALSE
"Pigeon Guillemot","PIGU","anthro",0.335123033989294,-1.0607199525,-0.846724523,1.484897625,1.7240795425,FALSE,FALSE,FALSE
"Pileated Woodpecker","PIWO","anthro",-2.3415020606875,-2.5217497,-2.49362574,-2.19252339,-2.169762745,TRUE,TRUE,FALSE
"Pine Grosbeak","PIGR","anthro",-1.3730947727999,-3.217986355,-2.923519455,0.194613425499997,0.48959916475,FALSE,FALSE,FALSE
"Pine Siskin","PISI","anthro",-2.9537827042375,-3.6675570225,-3.552484915,-2.347351965,-2.2261824375,TRUE,TRUE,FALSE
"Pine Warbler","PIWA","anthro",-2.9112751035375,-3.2655141025,-3.20124102,-2.610508355,-2.545807905,TRUE,TRUE,FALSE
"Pinyon Jay","PIJA","anthro",-0.783123898227739,-2.2793613025,-2.06820533,0.521319568,0.765102104749999,FALSE,FALSE,FALSE
"Plumbeous Vireo","PLVI","anthro",-2.3409416198425,-3.2310856,-3.087622375,-1.58059969,-1.4271791375,TRUE,TRUE,FALSE
"Prairie Falcon","PRFA","anthro",-0.527963535270904,-1.0453808325,-0.963590944,-0.102519899,-0.00967440352500029,TRUE,TRUE,FALSE
"Prairie Warbler","PRAW","anthro",-3.1467538840625,-3.61092028,-3.525874335,-2.77033977,-2.6931995825,TRUE,TRUE,FALSE
"Prothonotary Warbler","PROW","anthro",-0.718043303275596,-1.2619795975,-1.16734288,-0.261140756,-0.17115097375,TRUE,TRUE,FALSE
"Purple Finch","PUFI","anthro",-0.750680112410856,-1.2687443675,-1.18962061,-0.3160257435,-0.2268068355,TRUE,TRUE,FALSE
"Purple Martin","PUMA","anthro",0.715614763532113,0.345280263,0.407658424,1.01881787,1.0769218925,TRUE,TRUE,FALSE
"Pygmy Nuthatch","PYNU","anthro",-0.159041234894966,-1.521067555,-1.304757905,1.012009765,1.248970325,FALSE,FALSE,FALSE
"Pyrrhuloxia","PYRR","anthro",-1.68761718847342,-2.78776239,-2.62992089,-0.716033787,-0.519957229500001,TRUE,TRUE,FALSE
"Red Crossbill","RECR","anthro",-2.24029516572813,-3.0109200975,-2.88750307,-1.596504855,-1.47545127,TRUE,TRUE,FALSE
"Red-bellied Woodpecker","RBWO","anthro",-0.0835965266996141,-0.253895811,-0.2276716845,0.06314605005,0.09597868435,FALSE,FALSE,FALSE
"Red-breasted Merganser","RBME","anthro",-0.228515441679289,-2.058567755,-1.78068091,1.34295585,1.7159883275,FALSE,FALSE,FALSE
"Red-breasted Nuthatch","RBNU","anthro",-2.8532633255625,-3.3135395275,-3.246637025,-2.474316035,-2.3974247575,TRUE,TRUE,FALSE
"Red-breasted Sapsucker","RBSA","anthro",-0.94394314201305,-1.65755693,-1.55391764,-0.3488986375,-0.23422918275,TRUE,TRUE,FALSE
"Red-cockaded Woodpecker","RCWO","anthro",-2.01233277799786,-3.51197304,-3.28965706,-0.733327496000003,-0.464297321000001,TRUE,TRUE,FALSE
"Red-eyed Vireo","REVI","anthro",-3.5203424550625,-3.72318647,-3.6889565,-3.348344765,-3.3162998175,TRUE,TRUE,FALSE
"Red-faced Warbler","RFWA","anthro",0.569713363021241,-1.34343756,-1.03157957,2.15070385,2.4715605,FALSE,FALSE,FALSE
"Red-headed Woodpecker","RHWO","anthro",-0.409663406234697,-0.69052758925,-0.6478333995,-0.1711521605,-0.11792907675,TRUE,TRUE,FALSE
"Red-naped Sapsucker","RNSA","anthro",-1.88392954210625,-2.7511323975,-2.625653505,-1.16569621,-1.0206790975,TRUE,TRUE,FALSE
"Red-necked Grebe","RNGR","anthro",-0.612091118957986,-2.0554613225,-1.85630958,0.654049977499999,0.907935752999999,FALSE,FALSE,FALSE
"Red-shouldered Hawk","RSHA","anthro",-0.86313004286375,-1.0977096625,-1.062208415,-0.667422768,-0.63072357775,TRUE,TRUE,FALSE
"Red-tailed Hawk","RTHA","anthro",1.277433201485,1.13430831,1.155094035,1.400471305,1.42520973,TRUE,TRUE,FALSE
"Red-winged Blackbird","RWBL","anthro",3.41607069160625,3.203879065,3.23656237,3.59348103,3.62834402,TRUE,TRUE,FALSE
"Reddish Egret","REEG","anthro",0.350085943940192,-0.8174114385,-0.612307755,1.323164425,1.515079045,FALSE,FALSE,FALSE
"Redhead","REDH","anthro",-0.242172399281806,-1.0970800475,-0.968515179,0.4936642275,0.6269855465,FALSE,FALSE,FALSE
"Ridgway's Rail","RIRA","anthro",-0.478666948912715,-1.9584059475,-1.717609445,0.75712858,1.001554475,FALSE,FALSE,FALSE
"Ring-billed Gull","RBGU","anthro",1.30690926487058,0.4715567655,0.6088885255,2.010059965,2.1358302075,TRUE,TRUE,FALSE
